"department","year","solicitation_procedure","total_spending","total_contracts"
"Accessibility Standards Canada",2020,"TN","353925.76","11"
"Accessibility Standards Canada",2021,"TN","1001724.27","31"
"Accessibility Standards Canada",2021,"OB","125000.00","1"
"Accessibility Standards Canada",2021,"TC","62574.10","2"
"Accessibility Standards Canada",2022,"TN","1645319.63","46"
"Accessibility Standards Canada",2022,"TC","283187.83","8"
"Accessibility Standards Canada",2022,"ST","208967.07","2"
"Accessibility Standards Canada",2022,"OB","127398.70","2"
"Accessibility Standards Canada",2022,"AC","115012.23","1"
"Accessibility Standards Canada",2023,"TN","1930620.88","57"
"Accessibility Standards Canada",2023,"TC","738626.51","8"
"Accessibility Standards Canada",2023,"AC","576003.00","4"
"Accessibility Standards Canada",2023,"OB","127398.70","2"
"Accessibility Standards Canada",2023,"ST","36644.35","1"
"Accessibility Standards Canada",2024,"TC","1400370.72","16"
"Accessibility Standards Canada",2024,"TN","809548.69","32"
"Accessibility Standards Canada",2024,"ST","760809.76","9"
"Accessibility Standards Canada",2024,"OB","535941.28","11"
"Accessibility Standards Canada",2024,"AC","263240.78","3"
"Accessibility Standards Canada",2025,"TC","1417875.67","23"
"Accessibility Standards Canada",2025,"TN","1416015.80","27"
"Accessibility Standards Canada",2025,"ST","1249111.00","15"
"Accessibility Standards Canada",2025,"OB","476550.06","9"
"Accessibility Standards Canada",2025,"AC","76293.58","1"
"Accessibility Standards Canada",2026,"OB","458470.06","6"
"Accessibility Standards Canada",2026,"TC","342340.43","5"
"Accessibility Standards Canada",2026,"ST","261324.98","5"
"Accessibility Standards Canada",2026,"TN","232855.90","10"
"Administrative Tribunals Support Service of Canada",2017,"OB","3037121.61","11"
"Administrative Tribunals Support Service of Canada",2017,"TC","2150530.50","32"
"Administrative Tribunals Support Service of Canada",2017,"TN","1286417.88","50"
"Administrative Tribunals Support Service of Canada",2017,"AC","51247.73","1"
"Administrative Tribunals Support Service of Canada",2018,"OB","4754775.20","40"
"Administrative Tribunals Support Service of Canada",2018,"TC","2439830.77","46"
"Administrative Tribunals Support Service of Canada",2018,"TN","1714131.45","78"
"Administrative Tribunals Support Service of Canada",2018,"AC","51247.73","0"
"Administrative Tribunals Support Service of Canada",2019,"OB","8051115.10","55"
"Administrative Tribunals Support Service of Canada",2019,"TN","3028257.52","65"
"Administrative Tribunals Support Service of Canada",2019,"TC","1733184.25","33"
"Administrative Tribunals Support Service of Canada",2019,"AC","51247.73","0"
"Administrative Tribunals Support Service of Canada",2020,"OB","8092784.15","34"
"Administrative Tribunals Support Service of Canada",2020,"TN","1553993.56","46"
"Administrative Tribunals Support Service of Canada",2020,"TC","1267139.55","27"
"Administrative Tribunals Support Service of Canada",2020,"AC","35088.38","0"
"Administrative Tribunals Support Service of Canada",2021,"OB","10846409.15","45"
"Administrative Tribunals Support Service of Canada",2021,"TN","1662933.30","58"
"Administrative Tribunals Support Service of Canada",2021,"ST","1124604.25","2"
"Administrative Tribunals Support Service of Canada",2021,"TC","785128.05","24"
"Administrative Tribunals Support Service of Canada",2022,"OB","7025759.48","30"
"Administrative Tribunals Support Service of Canada",2022,"TN","2247978.00","86"
"Administrative Tribunals Support Service of Canada",2022,"ST","1065118.57","4"
"Administrative Tribunals Support Service of Canada",2022,"TC","889662.15","19"
"Administrative Tribunals Support Service of Canada",2022,"AC","172000.00","1"
"Administrative Tribunals Support Service of Canada",2023,"OB","4985808.57","16"
"Administrative Tribunals Support Service of Canada",2023,"TN","2916630.46","105"
"Administrative Tribunals Support Service of Canada",2023,"ST","1966876.94","13"
"Administrative Tribunals Support Service of Canada",2023,"TC","1065089.00","21"
"Administrative Tribunals Support Service of Canada",2023,"AC","172000.00","0"
"Administrative Tribunals Support Service of Canada",2024,"OB","3353410.21","15"
"Administrative Tribunals Support Service of Canada",2024,"TN","2213682.88","63"
"Administrative Tribunals Support Service of Canada",2024,"ST","1982581.37","14"
"Administrative Tribunals Support Service of Canada",2024,"TC","1514116.62","33"
"Administrative Tribunals Support Service of Canada",2024,"AC","172000.00","0"
"Administrative Tribunals Support Service of Canada",2025,"TN","2520430.01","70"
"Administrative Tribunals Support Service of Canada",2025,"TC","1221518.35","28"
"Administrative Tribunals Support Service of Canada",2025,"OB","1012298.95","12"
"Administrative Tribunals Support Service of Canada",2025,"ST","408001.99","13"
"Administrative Tribunals Support Service of Canada",2025,"AC","172000.00","0"
"Administrative Tribunals Support Service of Canada",2026,"TN","1020709.89","27"
"Administrative Tribunals Support Service of Canada",2026,"TC","306532.20","10"
"Administrative Tribunals Support Service of Canada",2026,"ST","208013.40","5"
"Administrative Tribunals Support Service of Canada",2026,"AC","172000.00","0"
"Administrative Tribunals Support Service of Canada",2026,"OB","140544.88","3"
"Agriculture and Agri-Food Canada",2017,"TC","30988564.38","1052"
"Agriculture and Agri-Food Canada",2017,"OB","22726631.39","392"
"Agriculture and Agri-Food Canada",2017,"TN","10270630.19","412"
"Agriculture and Agri-Food Canada",2017,"AC","1966023.32","29"
"Agriculture and Agri-Food Canada",2017,"ST","122524.29","1"
"Agriculture and Agri-Food Canada",2018,"OB","42212381.91","494"
"Agriculture and Agri-Food Canada",2018,"TC","38465538.07","1189"
"Agriculture and Agri-Food Canada",2018,"TN","18109172.78","654"
"Agriculture and Agri-Food Canada",2018,"AC","2682023.62","67"
"Agriculture and Agri-Food Canada",2018,"ST","533693.62","3"
"Agriculture and Agri-Food Canada",2019,"OB","39113245.54","483"
"Agriculture and Agri-Food Canada",2019,"TC","38922958.56","1102"
"Agriculture and Agri-Food Canada",2019,"TN","24719988.38","811"
"Agriculture and Agri-Food Canada",2019,"AC","3184266.32","65"
"Agriculture and Agri-Food Canada",2019,"ST","646693.62","1"
"Agriculture and Agri-Food Canada",2020,"OB","52936212.34","589"
"Agriculture and Agri-Food Canada",2020,"TC","30110009.93","858"
"Agriculture and Agri-Food Canada",2020,"TN","25437862.22","793"
