"department","year","commodity_type","total_spending","total_contracts"
"Accessibility Standards Canada",2020,"S","353925.76","11"
"Accessibility Standards Canada",2021,"S","1173449.07","33"
"Accessibility Standards Canada",2021,"G","15849.30","1"
"Accessibility Standards Canada",2022,"S","2379885.46","59"
"Accessibility Standards Canada",2023,"S","3409293.44","72"
"Accessibility Standards Canada",2024,"S","3769911.22","71"
"Accessibility Standards Canada",2025,"S","4635846.11","75"
"Accessibility Standards Canada",2026,"S","1294991.38","26"
"Administrative Tribunals Support Service of Canada",2017,"S","5673123.43","73"
"Administrative Tribunals Support Service of Canada",2017,"G","852194.29","21"
"Administrative Tribunals Support Service of Canada",2018,"S","6730528.48","117"
"Administrative Tribunals Support Service of Canada",2018,"G","2210409.58","46"
"Administrative Tribunals Support Service of Canada",2018,"C","19047.09","1"
"Administrative Tribunals Support Service of Canada",2019,"S","10533697.96","113"
"Administrative Tribunals Support Service of Canada",2019,"G","2330106.64","40"
"Administrative Tribunals Support Service of Canada",2020,"S","9187179.01","74"
"Administrative Tribunals Support Service of Canada",2020,"G","1761826.63","33"
"Administrative Tribunals Support Service of Canada",2021,"S","13108694.52","95"
"Administrative Tribunals Support Service of Canada",2021,"G","1310380.24","34"
"Administrative Tribunals Support Service of Canada",2022,"S","9920331.96","92"
"Administrative Tribunals Support Service of Canada",2022,"G","1464421.61","46"
"Administrative Tribunals Support Service of Canada",2022,"C","15764.63","2"
"Administrative Tribunals Support Service of Canada",2023,"S","7895979.89","92"
"Administrative Tribunals Support Service of Canada",2023,"G","3205188.67","62"
"Administrative Tribunals Support Service of Canada",2023,"C","5236.42","1"
"Administrative Tribunals Support Service of Canada",2024,"S","5751463.58","74"
"Administrative Tribunals Support Service of Canada",2024,"G","3484327.52","51"
"Administrative Tribunals Support Service of Canada",2025,"G","2888196.71","45"
"Administrative Tribunals Support Service of Canada",2025,"S","2446052.59","78"
"Administrative Tribunals Support Service of Canada",2026,"S","1114273.81","33"
"Administrative Tribunals Support Service of Canada",2026,"G","733526.57","12"
"Agriculture and Agri-Food Canada",2017,"S","32178409.68","889"
"Agriculture and Agri-Food Canada",2017,"G","28598197.14","903"
"Agriculture and Agri-Food Canada",2017,"C","5297766.74","94"
"Agriculture and Agri-Food Canada",2018,"S","55730367.94","1260"
"Agriculture and Agri-Food Canada",2018,"G","40318305.59","1009"
"Agriculture and Agri-Food Canada",2018,"C","5954136.47","138"
"Agriculture and Agri-Food Canada",2019,"S","56911375.44","1278"
"Agriculture and Agri-Food Canada",2019,"G","42813597.52","1060"
"Agriculture and Agri-Food Canada",2019,"C","6862179.47","124"
"Agriculture and Agri-Food Canada",2020,"S","78260804.18","1243"
"Agriculture and Agri-Food Canada",2020,"G","30300861.56","962"
"Agriculture and Agri-Food Canada",2020,"C","8044196.85","98"
"Agriculture and Agri-Food Canada",2021,"S","89732558.35","1293"
"Agriculture and Agri-Food Canada",2021,"G","30240326.32","939"
"Agriculture and Agri-Food Canada",2021,"C","5250484.31","77"
"Agriculture and Agri-Food Canada",2022,"S","98335978.67","1296"
"Agriculture and Agri-Food Canada",2022,"G","30323697.03","943"
"Agriculture and Agri-Food Canada",2022,"C","3277441.37","62"
"Agriculture and Agri-Food Canada",2023,"S","104760311.59","1261"
"Agriculture and Agri-Food Canada",2023,"G","29531892.33","957"
"Agriculture and Agri-Food Canada",2023,"C","5376733.66","105"
"Agriculture and Agri-Food Canada",2024,"S","93024577.91","1221"
"Agriculture and Agri-Food Canada",2024,"G","35116655.90","1130"
"Agriculture and Agri-Food Canada",2024,"C","6986181.54","134"
"Agriculture and Agri-Food Canada",2025,"S","101642948.15","1139"
"Agriculture and Agri-Food Canada",2025,"G","25672202.40","898"
"Agriculture and Agri-Food Canada",2025,"C","6522633.89","120"
"Agriculture and Agri-Food Canada",2026,"S","55998664.60","444"
"Agriculture and Agri-Food Canada",2026,"G","4975246.73","222"
"Agriculture and Agri-Food Canada",2026,"C","2042372.31","32"
"Atlantic Canada Opportunities Agency",2017,"S","1397182.61","52"
"Atlantic Canada Opportunities Agency",2017,"G","505461.30","19"
"Atlantic Canada Opportunities Agency",2017,"C","13805.55","1"
"Atlantic Canada Opportunities Agency",2017,NULL,"6855.21","1"
"Atlantic Canada Opportunities Agency",2018,"S","1644704.12","78"
"Atlantic Canada Opportunities Agency",2018,"G","861573.97","35"
"Atlantic Canada Opportunities Agency",2018,NULL,"6855.21","1"
"Atlantic Canada Opportunities Agency",2019,"S","2049086.96","98"
"Atlantic Canada Opportunities Agency",2019,"G","1863358.43","44"
"Atlantic Canada Opportunities Agency",2020,"S","2000492.84","86"
"Atlantic Canada Opportunities Agency",2020,"G","1169769.36","39"
"Atlantic Canada Opportunities Agency",2021,"S","2443634.82","93"
"Atlantic Canada Opportunities Agency",2021,"G","1545871.81","42"
"Atlantic Canada Opportunities Agency",2022,"S","2676910.59","105"
"Atlantic Canada Opportunities Agency",2022,"G","999851.68","33"
"Atlantic Canada Opportunities Agency",2023,"S","2274152.27","80"
"Atlantic Canada Opportunities Agency",2023,"G","737743.03","32"
"Atlantic Canada Opportunities Agency",2024,"S","2136501.49","91"
"Atlantic Canada Opportunities Agency",2024,"G","686659.85","33"
"Atlantic Canada Opportunities Agency",2025,"S","1712200.56","71"
"Atlantic Canada Opportunities Agency",2025,"G","736134.31","28"
"Atlantic Canada Opportunities Agency",2026,"S","712264.99","26"
"Atlantic Canada Opportunities Agency",2026,"G","338541.04","15"
"Canada Border Services Agency",2017,"S","72170607.64","414"
"Canada Border Services Agency",2017,"G","16265862.68","178"
"Canada Border Services Agency",2017,"C","49311.74","4"
"Canada Border Services Agency",2018,"S","196520616.92","797"
"Canada Border Services Agency",2018,"G","42082239.78","325"
"Canada Border Services Agency",2018,"C","70346.36","5"
"Canada Border Services Agency",2018,NULL,"1980.09","1"
"Canada Border Services Agency",2019,"S","279135473.74","990"
"Canada Border Services Agency",2019,"G","36290844.20","523"
"Canada Border Services Agency",2019,"C","108300.15","7"
"Canada Border Services Agency",2019,NULL,"1980.09","1"
"Canada Border Services Agency",2020,"S","374471326.23","1072"
"Canada Border Services Agency",2020,"G","38004272.21","639"
"Canada Border Services Agency",2020,"C","60196.28","4"
"Canada Border Services Agency",2020,NULL,"1980.09","1"
"Canada Border Services Agency",2021,"S","443282321.95","1317"
"Canada Border Services Agency",2021,"G","42517519.64","684"
"Canada Border Services Agency",2021,"C","79376.68","4"
"Canada Border Services Agency",2021,NULL,"1980.09","1"
"Canada Border Services Agency",2022,"S","466294637.35","1294"
"Canada Border Services Agency",2022,"G","68164238.87","832"
