"contract_year","department","entries_above_25k","entries_below_25k"
"2017","Administrative Tribunals Support Service of Canada","40","41"
"2017","Agriculture and Agri-Food Canada","631","1220"
"2017","Atlantic Canada Opportunities Agency","18","27"
"2017","Canada Border Services Agency","302","265"
"2017","Canada Economic Development for Quebec Regions","24","29"
"2017","Canada Energy Regulator","89","88"
"2017","Canada Revenue Agency","377","495"
"2017","Canada School of Public Service","31","36"
"2017","Canadian Centre for Occupational Health and Safety","7","15"
"2017","Canadian Food Inspection Agency","277","263"
"2017","Canadian Grain Commission","41","86"
"2017","Canadian Heritage","197","283"
"2017","Canadian Institutes of Health Research","68","79"
"2017","Canadian Northern Economic Development Agency","2","6"
"2017","Canadian Nuclear Safety Commission","86","82"
"2017","Canadian Radio-television and Telecommunications Commission","7","15"
"2017","Canadian Space Agency","168","156"
"2017","Canadian Transportation Agency","12","26"
"2017","Civilian Review and Complaints Commission for the RCMP","12","29"
"2017","Correctional Service of Canada","1661","1825"
"2017","Courts Administration Service","83","57"
"2017","Crown-Indigenous Relations and Northern Affairs Canada","366","396"
"2017","Department of Finance Canada","41","60"
"2017","Department of Housing, Infrastructure and Communities","47","51"
"2017","Department of Justice Canada","167","216"
"2017","Elections Canada","92","136"
"2017","Employment and Social Development Canada","558","297"
"2017","Environment and Climate Change Canada","613","1540"
"2017","Farm Products Council of Canada","1","1"
"2017","Federal Economic Development Agency for Southern Ontario","9","24"
"2017","Financial Consumer Agency of Canada","25","44"
"2017","Financial Transactions and Reports Analysis Centre of Canada","13","21"
"2017","Fisheries and Oceans Canada","2966","3085"
"2017","Global Affairs Canada","1026","2067"
"2017","Health Canada","630","888"
"2017","Immigration, Refugees and Citizenship Canada","331","137"
"2017","Impact Assessment Agency of Canada","16","16"
"2017","Indigenous Services Canada","13","17"
"2017","Innovation, Science and Economic Development Canada","518","629"
"2017","International Joint Commission","9","7"
"2017","Library and Archives Canada","49","79"
"2017","Military Grievances External Review Committee","5","4"
"2017","Military Police Complaints Commission of Canada","2","16"
"2017","National Defence","7061","6847"
"2017","National Film Board","70","94"
"2017","National Research Council Canada","824","1682"
"2017","Natural Resources Canada","629","1311"
"2017","Natural Sciences and Engineering Research Council of Canada","38","51"
"2017","Office of the Auditor General of Canada","55","107"
"2017","Office of the Commissioner for Federal Judicial Affairs Canada","15","60"
"2017","Office of the Commissioner of Official Languages","23","40"
"2017","Office of the Privacy Commissioner of Canada","13","40"
"2017","Office of the Public Sector Integrity Commissioner of Canada","4","10"
"2017","Office of the Secretary to the Governor General","11","27"
"2017","Office of the Superintendent of Financial Institutions Canada","62","149"
"2017","Parks Canada","1436","1665"
